#HeroicDeath Data Log - This file stores serialized data on player deaths in the following order:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
Abrahamarmite|Hobby203|283x10|ENTITY_ATTACK|world_hoth (177.0,74.0,187.0)|11/04/2011 20:35:44 GMT|Hobby203 killed Abrahamarmite wielding gold sword
Hobby203|||FALL|world_hoth (209.0,70.0,194.0)|11/04/2011 20:36:50 GMT|Hobby203 took a leap of faith
Hobby203|Abrahamarmite|324x0|ENTITY_ATTACK|world_hoth (240.0,62.0,255.0)|11/04/2011 20:37:35 GMT|Abrahamarmite killed Hobby203 wielding wood door
Abrahamarmite|Hobby203|329x0|ENTITY_ATTACK|world_hoth (219.0,77.0,227.0)|11/04/2011 20:39:34 GMT|Hobby203 killed Abrahamarmite wielding saddle
Hobby203|||FALL|world_hoth (224.0,70.0,234.0)|11/04/2011 20:40:22 GMT|Hobby203 took a leap of faith
Hobby203|Abrahamarmite|292x100|ENTITY_ATTACK|world_hoth (229.0,79.0,216.0)|11/04/2011 20:41:47 GMT|Abrahamarmite killed Hobby203 wielding iron hoe
Abrahamarmite|Hobby203|37x0|ENTITY_ATTACK|world_hoth (225.0,78.0,221.0)|11/04/2011 20:42:59 GMT|Hobby203 killed Abrahamarmite wielding yellow flower
mike|Creeper||ENTITY_EXPLOSION|world_hoth (229.0,64.0,187.0)|11/04/2011 22:28:42 GMT|mike hugged a creeper
mike|||DROWNING|world_hoth (-29.0,49.0,154.0)|11/04/2011 21:31:42 GMT|mike drowned
mike|||SUICIDE|world_hoth (-28.0,74.0,162.0)|11/04/2011 21:38:54 GMT|mike committed suicide.
mike|||SUICIDE|world_hoth (-52.0,64.0,149.0)|11/04/2011 21:39:01 GMT|mike committed suicide.
Trueblue62|||LAVA|world_hoth (-45.0,10.0,-9.0)|11/04/2011 21:46:57 GMT|Trueblue62 took a bath in a lake of fire
hampster900|Abrahamarmite|97x0|ENTITY_ATTACK|world_hoth (-561.0,62.0,256.0)|11/04/2011 22:55:41 GMT|Abrahamarmite killed hampster900 wielding hidden silverfish stone block
th3ant|Hobby203|2x0|ENTITY_ATTACK|world_hoth (-32.0,75.0,181.0)|11/05/2011 15:12:21 GMT|Hobby203 killed th3ant wielding grass
Abrahamarmite|Hobby203|276x2|ENTITY_ATTACK|world_hoth (967.0,65.0,-1709.0)|11/05/2011 15:23:54 GMT|Hobby203 killed Abrahamarmite wielding diamond sword
Abrahamarmite|Hobby203|276x3|ENTITY_ATTACK|world_hoth (-41.0,52.0,112.0)|11/05/2011 15:24:30 GMT|Hobby203 killed Abrahamarmite wielding diamond sword
Hobby203|Abrahamarmite|350x0|ENTITY_ATTACK|world_hoth (-71.0,54.0,109.0)|11/05/2011 15:24:56 GMT|Abrahamarmite killed Hobby203 wielding cooked fish
Abrahamarmite|Hobby203|70x0|ENTITY_ATTACK|world_hoth (-66.0,39.0,116.0)|11/05/2011 15:26:07 GMT|Hobby203 killed Abrahamarmite wielding stone plate
Hobby203|Abrahamarmite|276x4|ENTITY_ATTACK|world_hoth (-87.0,40.0,117.0)|11/05/2011 15:26:38 GMT|Abrahamarmite killed Hobby203 wielding diamond sword
Hobby203|Abrahamarmite|316x61|ENTITY_ATTACK|world_hoth (-59.0,38.0,118.0)|11/05/2011 15:27:36 GMT|Abrahamarmite killed Hobby203 wielding gold pants
Abrahamarmite|Hobby203|321x0|ENTITY_ATTACK|world_hoth (-60.0,39.0,117.0)|11/05/2011 15:28:40 GMT|Hobby203 killed Abrahamarmite wielding painting
Hobby203|Abrahamarmite|70x0|ENTITY_ATTACK|world_hoth (-19.0,38.0,119.0)|11/05/2011 15:29:58 GMT|Abrahamarmite killed Hobby203 wielding stone plate
Abrahamarmite|Hobby203|0x-1|ENTITY_ATTACK|world_hoth (-51.0,40.0,117.0)|11/05/2011 15:30:40 GMT|Hobby203 killed Abrahamarmite wielding fists
Hobby203|Abrahamarmite|342x0|ENTITY_ATTACK|world_hoth (-70.0,46.0,116.0)|11/05/2011 15:33:17 GMT|Abrahamarmite killed Hobby203 wielding storage minecart
Abrahamarmite|Hobby203|332x0|ENTITY_ATTACK|world_hoth (-43.0,40.0,117.0)|11/05/2011 15:34:44 GMT|Hobby203 killed Abrahamarmite wielding snowball
Hobby203|Abrahamarmite|336x0|ENTITY_ATTACK|world_hoth (-68.0,39.0,118.0)|11/05/2011 15:35:38 GMT|Abrahamarmite killed Hobby203 wielding brick
Abrahamarmite|||ENTITY_EXPLOSION|world_hoth (-16.0,63.0,96.0)|11/05/2011 15:39:31 GMT|Abrahamarmite apparently has an explosive personality
Abrahamarmite|||VOID|world_hoth (26.0,-143.0,66.0)|11/05/2011 15:41:22 GMT|Abrahamarmite fell into the Gap
Abrahamarmite|||VOID|world_hoth (23.0,-183.0,64.0)|11/05/2011 15:41:49 GMT|Abrahamarmite fell into the Gap
Hobby203|||FIRE_TICK|world_hoth (14.0,51.0,154.0)|11/05/2011 15:42:51 GMT|Hobby203 forgot how to stop, drop and roll
Hobby203|Abrahamarmite|276x6|ENTITY_ATTACK|world_hoth (9.0,63.0,95.0)|11/05/2011 16:06:26 GMT|Abrahamarmite killed Hobby203 wielding diamond sword
Abrahamarmite|Hobby203|324x0|ENTITY_ATTACK|world_hoth (15.0,63.0,92.0)|11/05/2011 16:09:04 GMT|Hobby203 killed Abrahamarmite wielding wood door
Omnomnoms|Abrahamarmite|77x0|ENTITY_ATTACK|world_hoth (-63.0,63.0,78.0)|11/05/2011 16:10:56 GMT|Abrahamarmite killed Omnomnoms wielding stone button
Abrahamarmite|Omnomnoms|264x0|ENTITY_ATTACK|world_hoth (-48.0,65.0,77.0)|11/05/2011 16:11:39 GMT|Omnomnoms killed Abrahamarmite wielding diamond
SirTravjm|Omnomnoms|276x4|ENTITY_ATTACK|world_hoth (-38.0,68.0,81.0)|11/06/2011 13:45:35 GMT|Omnomnoms killed SirTravjm wielding diamond sword
chazalaa98|SirTravjm|272x53|ENTITY_ATTACK|world_hoth (-41.0,67.0,42.0)|11/06/2011 14:05:08 GMT|SirTravjm killed chazalaa98 wielding stone sword
rogues0ldier|Zombie||ENTITY_ATTACK|world_hoth (-112.0,68.0,-61.0)|11/06/2011 14:16:36 GMT|rogues0ldier was killed by an angry Zombie
rogues0ldier|||SUFFOCATION|world_hoth (-60.0,60.0,77.0)|11/06/2011 14:26:45 GMT|rogues0ldier suffocated
SirTravjm|||SUFFOCATION|world_hoth (-59.0,57.0,79.0)|11/06/2011 14:37:44 GMT|SirTravjm suffocated
rogues0ldier|Zombie||ENTITY_ATTACK|world_hoth (-24.0,64.0,91.0)|11/06/2011 14:39:00 GMT|rogues0ldier was killed by an angry Zombie
rogues0ldier|SirTravjm|367x0|ENTITY_ATTACK|world_hoth (-59.0,62.0,66.0)|11/06/2011 14:40:22 GMT|SirTravjm killed rogues0ldier wielding rotten flesh
SirTravjm|rogues0ldier|295x0|ENTITY_ATTACK|world_hoth (-60.0,65.0,78.0)|11/06/2011 14:41:44 GMT|rogues0ldier killed SirTravjm wielding seeds
SirTravjm|Zombie||ENTITY_ATTACK|world_hoth (19.0,75.0,0.0)|11/06/2011 14:54:04 GMT|SirTravjm was killed by an angry Zombie
SirTravjm|Zombie||ENTITY_ATTACK|world_hoth (20.0,67.0,16.0)|11/06/2011 14:58:29 GMT|SirTravjm was killed by an angry Zombie
rogues0ldier|Skeleton||ENTITY_ATTACK|world_hoth (12.0,70.0,38.0)|11/06/2011 14:59:40 GMT|rogues0ldier was killed by an angry Skeleton
SirTravjm|Skeleton||ENTITY_ATTACK|world_hoth (-13.0,77.0,-78.0)|11/06/2011 15:13:35 GMT|SirTravjm was killed by an angry Skeleton
rogues0ldier|Zombie||ENTITY_ATTACK|world_hoth (12.0,70.0,30.0)|11/06/2011 16:15:09 GMT|rogues0ldier was killed by an angry Zombie
Bangalor|hampster900|276x12|ENTITY_ATTACK|world_hoth (-181.0,64.0,137.0)|11/06/2011 16:31:03 GMT|hampster900 killed Bangalor wielding diamond sword
rogues0ldier|Spider||ENTITY_ATTACK|world_hoth (11.0,74.0,25.0)|11/06/2011 17:15:46 GMT|rogues0ldier was killed by an angry Spider
rogues0ldier|Spider||ENTITY_ATTACK|world_hoth (-139.0,69.0,101.0)|11/06/2011 17:40:00 GMT|rogues0ldier was killed by an angry Spider
SirPrestonII|||FALL|world_hoth (-187.0,62.0,133.0)|11/06/2011 18:55:52 GMT|SirPrestonII fell to their death
HoneyMonsterAdz|Creeper||ENTITY_EXPLOSION|world_hoth (-146.0,68.0,97.0)|11/06/2011 19:19:20 GMT|HoneyMonsterAdz was creeper bombed
HoneyMonsterAdz|Skeleton||ENTITY_ATTACK|world_hoth (-236.0,18.0,123.0)|11/06/2011 19:45:07 GMT|HoneyMonsterAdz was killed by an angry Skeleton
HoneyMonsterAdz|Creeper||ENTITY_EXPLOSION|world_hoth (-230.0,20.0,111.0)|11/06/2011 19:54:51 GMT|HoneyMonsterAdz was creeper bombed
HoneyMonsterAdz|th3ant|276x30|ENTITY_ATTACK|world_hoth (-225.0,19.0,99.0)|11/06/2011 20:25:39 GMT|th3ant killed HoneyMonsterAdz wielding diamond sword
twinskimmer|Creeper||ENTITY_EXPLOSION|world_hoth (-452.0,64.0,97.0)|11/06/2011 20:37:26 GMT|twinskimmer was creeper bombed
rogues0ldier|Creeper||ENTITY_EXPLOSION|world_hoth (-35.0,67.0,57.0)|11/06/2011 20:55:27 GMT|rogues0ldier hugged a creeper
hampster900|Hobby203|293x0|ENTITY_ATTACK|world_hoth (-69.0,51.0,83.0)|11/06/2011 21:02:25 GMT|Hobby203 killed hampster900 wielding diamond hoe
camrocks17|Creeper||ENTITY_EXPLOSION|world_hoth (189.0,79.0,17.0)|11/06/2011 22:15:21 GMT|camrocks17 was creeper bombed
camrocks17|Creeper||ENTITY_EXPLOSION|world_hoth (188.0,79.0,18.0)|11/06/2011 22:17:18 GMT|camrocks17 was creeper bombed
lord_zanziba|||FALL|world_hoth (-69.0,28.0,83.0)|11/07/2011 00:51:03 GMT|lord_zanziba fell to their death
Bangalor|||FALL|world_hoth (-174.0,66.0,126.0)|11/07/2011 15:23:22 GMT|Bangalor took a leap of faith
Bangalor|||FALL|world_hoth (-208.0,15.0,171.0)|11/07/2011 15:52:32 GMT|Bangalor took a leap of faith
Bangalor|||FIRE_TICK|world_hoth (-218.0,9.0,195.0)|11/07/2011 16:09:21 GMT|Bangalor burned to death
Bangalor|Spider||ENTITY_ATTACK|world_hoth (-180.0,64.0,138.0)|11/07/2011 17:12:48 GMT|Bangalor was killed by an angry Spider
RadonGaming|Skeleton||ENTITY_ATTACK|world_hoth (34.0,66.0,119.0)|11/07/2011 17:29:27 GMT|RadonGaming was killed by an angry Skeleton
Bangalor|Spider||ENTITY_ATTACK|world_hoth (-114.0,64.0,98.0)|11/07/2011 17:30:34 GMT|Bangalor was killed by an angry Spider
mb8909|Creeper||ENTITY_EXPLOSION|world_hoth (138.0,76.0,165.0)|11/07/2011 18:18:41 GMT|mb8909 was creeper bombed
hampster900|||SUFFOCATION|world_hoth (-154.0,60.0,95.0)|11/07/2011 18:28:38 GMT|hampster900 suffocated
Omnomnoms|||DROWNING|world_hoth (-172.0,59.0,110.0)|11/07/2011 18:31:29 GMT|Omnomnoms took a long walk off a short pier
HoneyMonsterAdz|||LAVA|world_hoth (-201.0,67.0,97.0)|11/07/2011 18:32:49 GMT|HoneyMonsterAdz was killed by lava
Omnomnoms|||FIRE|world_hoth (-200.0,67.0,97.0)|11/07/2011 18:35:23 GMT|Omnomnoms burned to death
Omnomnoms|||FIRE_TICK|world_hoth (-242.0,63.0,78.0)|11/07/2011 18:48:44 GMT|Omnomnoms burned to death
Omnomnoms|||LAVA|world_hoth (-245.0,63.0,85.0)|11/07/2011 18:50:12 GMT|Omnomnoms was killed by lava
Twoshrubs|Creeper||ENTITY_EXPLOSION|world_hoth (515.0,35.0,335.0)|11/07/2011 18:58:30 GMT|Twoshrubs was creeper bombed
Twoshrubs|||DROWNING|world_hoth (578.0,58.0,452.0)|11/07/2011 20:05:05 GMT|Twoshrubs is swimming with the fishes
faithert|Zombie||ENTITY_ATTACK|world_hoth (-58.0,64.0,84.0)|11/07/2011 23:39:49 GMT|faithert was killed by an angry Zombie
faithert|||FALL|world_hoth (-82.0,65.0,80.0)|11/08/2011 02:50:10 GMT|faithert fell to their death
twinskimmer|||FALL|world_hoth (-275.0,63.0,184.0)|11/08/2011 22:46:05 GMT|twinskimmer took a leap of faith
faithert|||FALL|world_hoth (-60.0,61.0,68.0)|11/09/2011 03:22:15 GMT|faithert took a leap of faith
twinskimmer|||SUFFOCATION|world_hoth_nether (1.0,64.0,0.0)|11/09/2011 17:28:23 GMT|twinskimmer suffocated
twinskimmer|||SUFFOCATION|world_hoth_nether (0.0,63.0,0.0)|11/09/2011 17:31:46 GMT|twinskimmer suffocated
havz0r|||FIRE_TICK|world_hoth (-156.0,72.0,156.0)|11/09/2011 17:34:40 GMT|havz0r forgot how to stop, drop and roll
havz0r|||FIRE_TICK|world_hoth_nether (-19.0,67.0,19.0)|11/09/2011 17:36:04 GMT|havz0r burned to death
twinskimmer|Creeper||ENTITY_EXPLOSION|world_hoth (-126.0,64.0,52.0)|11/09/2011 18:54:48 GMT|twinskimmer hugged a creeper
twinskimmer|||FIRE_TICK|world_hoth (-126.0,66.0,77.0)|11/09/2011 19:09:46 GMT|twinskimmer burned to death
twinskimmer|||FIRE_TICK|world_hoth (-136.0,64.0,45.0)|11/09/2011 19:16:06 GMT|twinskimmer forgot how to stop, drop and roll
twinskimmer|||FIRE_TICK|world_hoth (35.0,73.0,34.0)|11/09/2011 19:24:06 GMT|twinskimmer burned to death
Twoshrubs|Ghast||ENTITY_EXPLOSION|world_hoth_nether (-42.0,65.0,30.0)|11/09/2011 20:05:10 GMT|Twoshrubs died
SirTravjm|Creeper||ENTITY_EXPLOSION|world_hoth (-155.0,63.0,104.0)|11/09/2011 22:23:51 GMT|SirTravjm was creeper bombed
Twoshrubs|Creeper||ENTITY_EXPLOSION|world_hoth (649.0,65.0,413.0)|11/09/2011 22:29:52 GMT|Twoshrubs hugged a creeper
faithert|Skeleton||ENTITY_ATTACK|world_hoth (-3.0,70.0,46.0)|11/09/2011 22:47:51 GMT|faithert was killed by an angry Skeleton
faithert|Creeper||ENTITY_EXPLOSION|world_hoth (6.0,70.0,29.0)|11/09/2011 22:48:34 GMT|faithert hugged a creeper
faithert|Zombie||ENTITY_ATTACK|world_hoth (-23.0,69.0,3.0)|11/09/2011 23:02:01 GMT|faithert was killed by an angry Zombie
faithert|Zombie||ENTITY_ATTACK|world_hoth (-33.0,70.0,-11.0)|11/09/2011 23:03:12 GMT|faithert was killed by an angry Zombie
Bangalor|Skeleton||ENTITY_ATTACK|world_hoth (-123.0,65.0,183.0)|11/11/2011 17:42:43 GMT|Bangalor was killed by an angry Skeleton
proatwork|Skeleton||ENTITY_ATTACK|world_hoth (217.0,74.0,123.0)|11/12/2011 09:28:13 GMT|proatwork was killed by an angry Skeleton
8Doogie|Zombie||ENTITY_ATTACK|world_hoth (88.0,64.0,246.0)|11/12/2011 18:11:35 GMT|8Doogie was killed by an angry Zombie
BlackFireTech|Zombie||ENTITY_ATTACK|world_hoth (310.0,74.0,119.0)|11/12/2011 19:12:44 GMT|BlackFireTech was killed by an angry Zombie
BlackFireTech|Creeper||ENTITY_EXPLOSION|world_hoth (253.0,64.0,191.0)|11/12/2011 19:12:51 GMT|BlackFireTech hugged a creeper
HoneyMonsterAdz|||FALL|world_hoth (340.0,74.0,232.0)|11/12/2011 19:31:58 GMT|HoneyMonsterAdz fell to their death
AraSyn|||FALL|world_hoth (349.0,67.0,353.0)|11/12/2011 19:47:53 GMT|AraSyn took a leap of faith
AraSyn|Creeper||ENTITY_EXPLOSION|world_hoth (251.0,63.0,241.0)|11/12/2011 21:53:52 GMT|AraSyn hugged a creeper
AraSyn|||FALL|world_hoth (266.0,66.0,248.0)|11/12/2011 22:15:28 GMT|AraSyn took a leap of faith
hornymonkey100|||FIRE_TICK|world_hoth (-142.0,58.0,-222.0)|11/13/2011 19:54:34 GMT|hornymonkey100 forgot how to stop, drop and roll
8Doogie|Skeleton||ENTITY_ATTACK|world_hoth (-204.0,64.0,-188.0)|11/13/2011 20:04:42 GMT|8Doogie was killed by an angry Skeleton
hornymonkey100|Creeper||ENTITY_EXPLOSION|world_hoth (-159.0,56.0,-228.0)|11/13/2011 20:07:38 GMT|hornymonkey100 hugged a creeper
8Doogie|Zombie||ENTITY_ATTACK|world_hoth (-197.0,64.0,-158.0)|11/13/2011 20:24:02 GMT|8Doogie was killed by an angry Zombie
8Doogie|Creeper||ENTITY_EXPLOSION|world_hoth (-212.0,62.0,-177.0)|11/13/2011 20:28:57 GMT|8Doogie hugged a creeper
hornymonkey100|Creeper||ENTITY_EXPLOSION|world_hoth (-216.0,64.0,-99.0)|11/13/2011 20:43:35 GMT|hornymonkey100 hugged a creeper
proatwork|||VOID|world_hoth (-224.0,-196.0,-103.0)|11/13/2011 20:59:21 GMT|proatwork fell into the Gap
proatwork|||VOID|world_hoth (-224.0,-196.0,-103.0)|11/13/2011 20:59:53 GMT|proatwork fell into the Gap
proatwork|||VOID|world_hoth (-224.0,-157.0,-104.0)|11/13/2011 21:01:32 GMT|proatwork fell into the Void
Abrahamarmite|||VOID|world_hoth (-224.0,-195.0,-103.0)|11/13/2011 21:01:33 GMT|Abrahamarmite fell into the Void
faithert|Creeper||ENTITY_EXPLOSION|world_hoth (-204.0,65.0,-141.0)|11/13/2011 21:09:08 GMT|faithert hugged a creeper
proatwork|Creeper||ENTITY_EXPLOSION|world_hoth (-228.0,75.0,-98.0)|11/13/2011 21:27:44 GMT|proatwork was creeper bombed
8Doogie|Creeper||ENTITY_EXPLOSION|world_hoth (-226.0,68.0,-97.0)|11/13/2011 21:29:51 GMT|8Doogie hugged a creeper
8Doogie|||ENTITY_EXPLOSION|world_hoth (-212.0,64.0,-99.0)|11/13/2011 21:35:17 GMT|8Doogie apparently has an explosive personality
th3ant|||ENTITY_EXPLOSION|world_hoth (-209.0,64.0,-92.0)|11/13/2011 21:35:58 GMT|th3ant exploded
8Doogie|||FALL|world_hoth (-198.0,25.0,-87.0)|11/13/2011 21:37:15 GMT|8Doogie took a leap of faith
th3ant|||FALL|world_hoth (-202.0,25.0,-91.0)|11/13/2011 21:37:26 GMT|th3ant took a leap of faith
Hobby203|||LAVA|world_hoth (-199.0,63.0,-107.0)|11/13/2011 21:39:46 GMT|Hobby203 took a bath in a lake of fire
8Doogie|||LAVA|world_hoth (-203.0,61.0,-106.0)|11/13/2011 21:40:53 GMT|8Doogie took a bath in a lake of fire
proatwork|||FIRE|world_hoth (-203.0,61.0,-106.0)|11/13/2011 21:40:54 GMT|proatwork burned to death
8Doogie|||FALL|world_hoth (-199.0,27.0,-90.0)|11/13/2011 21:45:56 GMT|8Doogie fell to their death
Abrahamarmite|||FALL|world_hoth (-200.0,25.0,-89.0)|11/13/2011 21:45:58 GMT|Abrahamarmite took a leap of faith
Hobby203|||FALL|world_hoth (-201.0,25.0,-88.0)|11/13/2011 21:46:05 GMT|Hobby203 fell to their death
8Doogie|Creeper||ENTITY_EXPLOSION|world_hoth (-264.0,43.0,-180.0)|11/13/2011 21:46:42 GMT|8Doogie was creeper bombed
Abrahamarmite|||FIRE_TICK|world_hoth (-294.0,22.0,-172.0)|11/13/2011 21:47:16 GMT|Abrahamarmite forgot how to stop, drop and roll
proatwork|Creeper||ENTITY_EXPLOSION|world_hoth (-219.0,68.0,-110.0)|11/13/2011 22:08:05 GMT|proatwork hugged a creeper
8Doogie|||FALL|world_hoth (-197.0,25.0,-88.0)|11/13/2011 22:18:13 GMT|8Doogie took a leap of faith
proatwork|||FALL|world_hoth (-225.0,2.0,-103.0)|11/13/2011 22:33:44 GMT|proatwork fell to their death
proatwork|||FALL|world_hoth (-224.0,2.0,-104.0)|11/13/2011 22:34:22 GMT|proatwork took a leap of faith
proatwork|||FALL|world_hoth (-224.0,2.0,-103.0)|11/13/2011 22:37:36 GMT|proatwork took a leap of faith
proatwork|||FALL|world_hoth (-225.0,2.0,-104.0)|11/13/2011 22:39:29 GMT|proatwork took a leap of faith
proatwork|Creeper||ENTITY_EXPLOSION|world_hoth (-205.0,64.0,-100.0)|11/14/2011 00:04:12 GMT|proatwork hugged a creeper
hornymonkey100|||FALL|world_hoth (-208.0,56.0,-170.0)|11/14/2011 16:47:01 GMT|hornymonkey100 fell to their death
Hobby203|||LAVA|world_hoth (-223.0,45.0,-176.0)|11/14/2011 17:02:17 GMT|Hobby203 became obsidian
hornymonkey100|||FALL|world_hoth (-353.0,77.0,-119.0)|11/14/2011 18:28:32 GMT|hornymonkey100 took a leap of faith
